Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.2751664338326002
100% Corpus,2,0.01,0.31,0.2776331213611659
100% Corpus,2,0.01,0.61,0.2776331213611659
100% Corpus,2,0.01,0.9099999999999999,0.28463101353481834
100% Corpus,2,0.01,symmetric,0.2776331213611659
100% Corpus,2,0.31,0.01,0.2751664338326002
100% Corpus,2,0.31,0.31,0.2776331213611659
100% Corpus,2,0.31,0.61,0.2829893572084119
100% Corpus,2,0.31,0.9099999999999999,0.2813606606529399
100% Corpus,2,0.31,symmetric,0.2776331213611659
100% Corpus,2,0.61,0.01,0.2751664338326002
100% Corpus,2,0.61,0.31,0.28298935720841184
100% Corpus,2,0.61,0.61,0.2855960175846948
100% Corpus,2,0.61,0.9099999999999999,0.2813606606529399
100% Corpus,2,0.61,symmetric,0.2829893572084119
100% Corpus,2,0.9099999999999999,0.01,0.2750816868353041
100% Corpus,2,0.9099999999999999,0.31,0.28298935720841184
100% Corpus,2,0.9099999999999999,0.61,0.2855960175846948
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2813606606529399
100% Corpus,2,0.9099999999999999,symmetric,0.28298935720841184
100% Corpus,2,symmetric,0.01,0.2751664338326002
100% Corpus,2,symmetric,0.31,0.2776331213611659
100% Corpus,2,symmetric,0.61,0.2829893572084119
100% Corpus,2,symmetric,0.9099999999999999,0.2813606606529399
100% Corpus,2,symmetric,symmetric,0.2829893572084119
100% Corpus,2,asymmetric,0.01,0.28298935720841184
100% Corpus,2,asymmetric,0.31,0.2872376739111012
100% Corpus,2,asymmetric,0.61,0.279844470918471
100% Corpus,2,asymmetric,0.9099999999999999,0.2831985599552843
100% Corpus,2,asymmetric,symmetric,0.28723767391110117
100% Corpus,7,0.01,0.01,0.2949244017672254
100% Corpus,7,0.01,0.31,0.2924230111623859
100% Corpus,7,0.01,0.61,0.29498900297649017
100% Corpus,7,0.01,0.9099999999999999,0.2965677292564239
100% Corpus,7,0.01,symmetric,0.291124077291293
100% Corpus,7,0.31,0.01,0.29926047698443753
100% Corpus,7,0.31,0.31,0.29627268187332767
100% Corpus,7,0.31,0.61,0.2896695305902813
100% Corpus,7,0.31,0.9099999999999999,0.29385410887093844
100% Corpus,7,0.31,symmetric,0.29269530898026613
100% Corpus,7,0.61,0.01,0.29550022751443566
100% Corpus,7,0.61,0.31,0.2914379802470203
100% Corpus,7,0.61,0.61,0.29713259094345407
100% Corpus,7,0.61,0.9099999999999999,0.29569213271643563
100% Corpus,7,0.61,symmetric,0.2924943122686048
100% Corpus,7,0.9099999999999999,0.01,0.2864666859216384
100% Corpus,7,0.9099999999999999,0.31,0.29294520993875367
100% Corpus,7,0.9099999999999999,0.61,0.295854374225819
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.29156137997568615
100% Corpus,7,0.9099999999999999,symmetric,0.28989193096162813
100% Corpus,7,symmetric,0.01,0.297390507406738
100% Corpus,7,symmetric,0.31,0.29371139880726826
100% Corpus,7,symmetric,0.61,0.29718205292367267
100% Corpus,7,symmetric,0.9099999999999999,0.2933027538011213
100% Corpus,7,symmetric,symmetric,0.2983108747000574
100% Corpus,7,asymmetric,0.01,0.29711327980064983
100% Corpus,7,asymmetric,0.31,0.3039579613454335
100% Corpus,7,asymmetric,0.61,0.28028917597782593
100% Corpus,7,asymmetric,0.9099999999999999,0.3140701297833168
100% Corpus,7,asymmetric,symmetric,0.2988436672610771
100% Corpus,12,0.01,0.01,0.2900857364061175
100% Corpus,12,0.01,0.31,0.2896470198848378
100% Corpus,12,0.01,0.61,0.3057998147263293
100% Corpus,12,0.01,0.9099999999999999,0.32642613701528783
100% Corpus,12,0.01,symmetric,0.29315525647604046
100% Corpus,12,0.31,0.01,0.2974740284670721
100% Corpus,12,0.31,0.31,0.29934476360985246
100% Corpus,12,0.31,0.61,0.3127295153178758
100% Corpus,12,0.31,0.9099999999999999,0.3235666400720039
100% Corpus,12,0.31,symmetric,0.2981363488290573
100% Corpus,12,0.61,0.01,0.3040611965571685
100% Corpus,12,0.61,0.31,0.2996006146132767
100% Corpus,12,0.61,0.61,0.30124467708007857
100% Corpus,12,0.61,0.9099999999999999,0.3058124950613534
100% Corpus,12,0.61,symmetric,0.29617540846449353
100% Corpus,12,0.9099999999999999,0.01,0.2998164791345674
100% Corpus,12,0.9099999999999999,0.31,0.300867341868538
100% Corpus,12,0.9099999999999999,0.61,0.296097771691123
100% Corpus,12,0.9099999999999999,0.9099999999999999,0.28870792712919546
100% Corpus,12,0.9099999999999999,symmetric,0.299490652610305
100% Corpus,12,symmetric,0.01,0.2956943101965796
100% Corpus,12,symmetric,0.31,0.290060256903298
100% Corpus,12,symmetric,0.61,0.30543966173964493
100% Corpus,12,symmetric,0.9099999999999999,0.33659408400277785
100% Corpus,12,symmetric,symmetric,0.3029138412485325
100% Corpus,12,asymmetric,0.01,0.2947973020751086
100% Corpus,12,asymmetric,0.31,0.286530440359467
100% Corpus,12,asymmetric,0.61,0.31288166382487465
100% Corpus,12,asymmetric,0.9099999999999999,0.34040944547892643
100% Corpus,12,asymmetric,symmetric,0.3046727900272053
100% Corpus,17,0.01,0.01,0.2872292329587529
100% Corpus,17,0.01,0.31,0.31949080037304833
100% Corpus,17,0.01,0.61,0.3178444432000729
100% Corpus,17,0.01,0.9099999999999999,0.31615211410925975
100% Corpus,17,0.01,symmetric,0.2876207661070364
100% Corpus,17,0.31,0.01,0.2911515997704856
100% Corpus,17,0.31,0.31,0.3132324252260177
100% Corpus,17,0.31,0.61,0.3132472700970488
100% Corpus,17,0.31,0.9099999999999999,0.3130284257507465
100% Corpus,17,0.31,symmetric,0.2866751223832964
100% Corpus,17,0.61,0.01,0.29098312108501595
100% Corpus,17,0.61,0.31,0.2894296069109365
100% Corpus,17,0.61,0.61,0.29770773409994694
100% Corpus,17,0.61,0.9099999999999999,0.31299113779080406
100% Corpus,17,0.61,symmetric,0.29118053502969066
100% Corpus,17,0.9099999999999999,0.01,0.289223402883398
100% Corpus,17,0.9099999999999999,0.31,0.28285593555147753
100% Corpus,17,0.9099999999999999,0.61,0.2863510512684584
100% Corpus,17,0.9099999999999999,0.9099999999999999,0.2874092604292197
100% Corpus,17,0.9099999999999999,symmetric,0.291282644350733
100% Corpus,17,symmetric,0.01,0.28984403752846166
100% Corpus,17,symmetric,0.31,0.3208747027580105
100% Corpus,17,symmetric,0.61,0.31803442562736567
100% Corpus,17,symmetric,0.9099999999999999,0.3182447780571795
100% Corpus,17,symmetric,symmetric,0.28847708372273245
100% Corpus,17,asymmetric,0.01,0.29304351188435535
100% Corpus,17,asymmetric,0.31,0.3054244069175895
100% Corpus,17,asymmetric,0.61,0.3524875070998576
100% Corpus,17,asymmetric,0.9099999999999999,0.36254464144485343
100% Corpus,17,asymmetric,symmetric,0.29387688095914793
